strava_id,Model,cv_rmse,cv_mape,x_tr_tr_len,x_holdout_len,features
584854,random_forest_regressor,76.00465648882269,0.16811260532811287,440,110,"['distance', 'vertical', 'grade']"
584854,xgboost,73.20794982910157,0.18899595439434053,440,110,"['distance', 'vertical', 'grade']"
2754904,linear_regression,91.07110827644598,0.3599097478536553,536,134,"['distance', 'vertical', 'grade']"
2754904,random_forest_regressor,103.32495666256656,0.1645453960416912,536,134,"['distance', 'vertical', 'grade']"
2754904,xgboost,102.32825469970703,0.176899191737175,536,134,"['distance', 'vertical', 'grade']"
4730293,linear_regression,108.41010470342965,0.34816238051252413,461,115,"['distance', 'vertical', 'grade']"
4730293,random_forest_regressor,150.66206445995076,0.17611124103236353,461,115,"['distance', 'vertical', 'grade']"
4730293,xgboost,149.13947296142578,0.18841250836849213,461,115,"['distance', 'vertical', 'grade']"
1836077,linear_regression,68.53245123809003,0.29797918492908615,628,157,"['distance', 'vertical', 'grade']"
1836077,random_forest_regressor,71.9768153669578,0.17159440717019248,628,157,"['distance', 'vertical', 'grade']"
1836077,xgboost,58.494896697998044,0.19135307073593139,628,157,"['distance', 'vertical', 'grade']"
37167909,linear_regression,76.12958510008801,0.3553061710390377,721,180,"['distance', 'vertical', 'grade']"
37167909,random_forest_regressor,83.56884247373958,0.1977599957858177,721,180,"['distance', 'vertical', 'grade']"
37167909,xgboost,77.94811782836913,0.21852617859840393,721,180,"['distance', 'vertical', 'grade']"
3979847,linear_regression,43.465286150505186,0.20601596803008615,574,143,"['distance', 'vertical', 'grade']"
3979847,random_forest_regressor,61.20096104518318,0.1524712163311906,574,143,"['distance', 'vertical', 'grade']"
3979847,xgboost,71.35871887207031,0.16180569529533387,574,143,"['distance', 'vertical', 'grade']"
27483509,linear_regression,52.170734631597114,0.22814538003138765,752,188,"['distance', 'vertical', 'grade']"
27483509,random_forest_regressor,55.06572537099451,0.16840231486532814,752,188,"['distance', 'vertical', 'grade']"
27483509,xgboost,54.02719650268555,0.1748998373746872,752,188,"['distance', 'vertical', 'grade']"
5070415,linear_regression,77.0933562801578,0.34346055889422183,618,154,"['distance', 'vertical', 'grade']"
5070415,random_forest_regressor,75.91948287214423,0.1645220155134007,618,154,"['distance', 'vertical', 'grade']"
5070415,xgboost,66.88994140625,0.16848351955413818,618,154,"['distance', 'vertical', 'grade']"
1936233,linear_regression,89.20308305324338,0.2885903738407481,657,164,"['distance', 'vertical', 'grade']"
1936233,random_forest_regressor,76.86133711711433,0.14557707710969292,657,164,"['distance', 'vertical', 'grade']"
1936233,xgboost,71.91433334350586,0.14719567596912383,657,164,"['distance', 'vertical', 'grade']"
1668485,linear_regression,56.55366696739816,0.24146447292220136,742,185,"['distance', 'vertical', 'grade']"
1668485,random_forest_regressor,152.81277968651938,0.1648064284158241,742,185,"['distance', 'vertical', 'grade']"
1668485,xgboost,139.22828903198243,0.203549125790596,742,185,"['distance', 'vertical', 'grade']"
11460770,linear_regression,75.58183208474128,0.3205570643908574,818,204,"['distance', 'vertical', 'grade']"
11460770,random_forest_regressor,75.51119508693309,0.15755301198322313,818,204,"['distance', 'vertical', 'grade']"
11460770,xgboost,83.26495513916015,0.19894416332244874,818,204,"['distance', 'vertical', 'grade']"
39169689,linear_regression,90.11468452200475,0.4163414372841938,592,148,"['distance', 'vertical', 'grade']"
39169689,random_forest_regressor,94.8871598559405,0.15265896070784835,592,148,"['distance', 'vertical', 'grade']"
39169689,xgboost,96.57970886230468,0.15891891717910767,592,148,"['distance', 'vertical', 'grade']"
863203,linear_regression,57.10666896002673,0.2577835158626242,935,233,"['distance', 'vertical', 'grade']"
863203,random_forest_regressor,64.67836043923822,0.16551686133504637,935,233,"['distance', 'vertical', 'grade']"
863203,xgboost,59.35871963500976,0.18787462413311004,935,233,"['distance', 'vertical', 'grade']"
2885876,linear_regression,123.67137218562615,0.5994931821984212,163,40,"['distance', 'vertical', 'grade']"
2885876,random_forest_regressor,102.0383744311246,0.1943823856839349,163,40,"['distance', 'vertical', 'grade']"
2885876,xgboost,106.36353073120117,0.1639379233121872,163,40,"['distance', 'vertical', 'grade']"
1439295,linear_regression,38.79857582802674,0.21349102301620954,720,179,"['distance', 'vertical', 'grade']"
1439295,random_forest_regressor,91.97214495196229,0.16274985335639117,720,179,"['distance', 'vertical', 'grade']"
1439295,xgboost,86.17767486572265,0.153821662068367,720,179,"['distance', 'vertical', 'grade']"
13872795,linear_regression,95.92428520555015,0.3419216768916663,757,189,"['distance', 'vertical', 'grade']"
13872795,random_forest_regressor,114.13312138144008,0.16178767534954525,757,189,"['distance', 'vertical', 'grade']"
13872795,xgboost,118.36619262695312,0.1709114730358124,757,189,"['distance', 'vertical', 'grade']"
31541211,linear_regression,87.73997770991946,0.35384585529707646,576,143,"['distance', 'vertical', 'grade']"
31541211,random_forest_regressor,76.01676142595946,0.15828376585500498,576,143,"['distance', 'vertical', 'grade']"
31541211,xgboost,76.44852905273437,0.16325611174106597,576,143,"['distance', 'vertical', 'grade']"
33207958,linear_regression,75.72377152408792,0.22162145008685896,452,113,"['distance', 'vertical', 'grade']"
33207958,random_forest_regressor,91.42232698951491,0.15835875651222012,452,113,"['distance', 'vertical', 'grade']"
33207958,xgboost,89.36839141845704,0.1848871737718582,452,113,"['distance', 'vertical', 'grade']"
288335,linear_regression,76.01659132627967,0.3137894122637429,709,177,"['distance', 'vertical', 'grade']"
288335,random_forest_regressor,107.91357025227285,0.18524946467477857,709,177,"['distance', 'vertical', 'grade']"
288335,xgboost,96.27984237670898,0.2179505467414856,709,177,"['distance', 'vertical', 'grade']"
2323575,linear_regression,34.10666167291712,0.21996395935467908,495,123,"['distance', 'vertical', 'grade']"
2323575,random_forest_regressor,68.23675057247493,0.1505999174864371,495,123,"['distance', 'vertical', 'grade']"
2323575,xgboost,67.96001968383788,0.15607189536094665,495,123,"['distance', 'vertical', 'grade']"
