strava_id,activity_id,distance,elevation,avg_power,time,tour_year,stage,ride_day,race_start_day,segments,year,profile_score,startlist_quality,time_delta,elevation_ratio,time_trial,no_sessions,mean_train_dist,mean_train_avg_speed,mean_train_elevation,mean_train_EVD
7968141,11394654277,217.97,1167,,18659,giro-2024,9,2024-05-12,2024-05-04,[],2024,77.0,721,8,0.005325435686351461,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11409353969,143.84,2978,,14633,giro-2024,10,2024-05-14,2024-05-04,[],2024,267.0,721,10,0.02028361645029901,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11417128590,210.54,1597,,16698,giro-2024,11,2024-05-15,2024-05-04,[],2024,36.0,721,11,0.00752815397596836,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11425002945,191.17,2074,,14968,giro-2024,12,2024-05-16,2024-05-04,[],2024,95.0,721,12,0.01073254538303906,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11432449424,179.94,132,,14525,giro-2024,13,2024-05-17,2024-05-04,[],2024,0.0,721,13,0.0007330401172864188,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11439489974,30.98,268,,2528,giro-2024,14,2024-05-18,2024-05-04,[],2024,9.0,721,14,0.008576548899129545,1,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11448934177,227.22,5608,,24176,giro-2024,15,2024-05-19,2024-05-04,[],2024,397.0,721,15,0.024086450083323312,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11464577924,117.51,2072,,10246,giro-2024,16,2024-05-21,2024-05-04,[],2024,234.0,721,17,0.017327022461574484,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11471890960,157.71,4000,,16622,giro-2024,17,2024-05-22,2024-05-04,[],2024,341.0,721,18,0.02473563787026158,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11479396815,176.64,709,,13436,giro-2024,18,2024-05-23,2024-05-04,[],2024,18.0,721,19,0.003997767114559428,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11487371077,154.35,2974,,15021,giro-2024,19,2024-05-24,2024-05-04,[],2024,258.0,721,20,0.018903663776664716,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11495241824,182.77,4185,,19308,giro-2024,20,2024-05-25,2024-05-04,[],2024,316.0,721,21,0.022385065924955202,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
7968141,11504133849,127.2,606,,10906,giro-2024,21,2024-05-26,2024-05-04,[],2024,13.0,721,22,0.0047415614290408905,0,53.0,107.77132075471698,35.77806894413254,1216.6792452830189,1.0455482238295872
584854,11331175502,140.05,1853,,13200,giro-2024,1,2024-05-04,2024-05-04,[],2024,145.0,721,0,0.013058215823485056,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11339679065,165.01,2340,,16381,giro-2024,2,2024-05-05,2024-05-04,[],2024,222.0,721,1,0.013982671048700329,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11346052910,172.06,896,,14743,giro-2024,3,2024-05-06,2024-05-04,[],2024,35.0,721,2,0.0051805083373806056,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11353386594,191.43,1636,,15765,giro-2024,4,2024-05-07,2024-05-04,[],2024,44.0,721,3,0.008473786166388697,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11361675470,184.95,1992,,15800,giro-2024,5,2024-05-08,2024-05-04,[],2024,59.0,721,4,0.010655711397117823,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11370025501,183.15,2156,,15161,giro-2024,6,2024-05-09,2024-05-04,[],2024,102.0,721,5,0.011634809450314615,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11377354106,40.31,445,,3635,giro-2024,7,2024-05-10,2024-05-04,[],2024,42.0,721,6,0.010918905655747761,1,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11386084546,156.49,3723,,16481,giro-2024,8,2024-05-11,2024-05-04,[],2024,265.0,721,7,0.023237814659234895,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11394410129,220.6,1399,,18163,giro-2024,9,2024-05-12,2024-05-04,[],2024,77.0,721,8,0.006301830188424272,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11409347068,145.02,2986,,15275,giro-2024,10,2024-05-14,2024-05-04,[],2024,267.0,721,10,0.020174857776036108,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11416977920,210.28,1700,,16548,giro-2024,11,2024-05-15,2024-05-04,[],2024,36.0,721,11,0.008019624492876687,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11424669978,193.5,2103,,15690,giro-2024,12,2024-05-16,2024-05-04,[],2024,95.0,721,12,0.010751368844036135,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11432192704,183.04,456,,15138,giro-2024,13,2024-05-17,2024-05-04,[],2024,0.0,721,13,0.002485067794393338,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11439559022,30.94,223,,2450,giro-2024,14,2024-05-18,2024-05-04,[],2024,9.0,721,14,0.00715592208709046,1,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11448892148,227.08,5618,,25469,giro-2024,15,2024-05-19,2024-05-04,[],2024,397.0,721,15,0.02414288047168433,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11464027436,118.4,2127,,11466,giro-2024,16,2024-05-21,2024-05-04,[],2024,234.0,721,17,0.01764749807097165,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11471855493,158.55,4041,,17902,giro-2024,17,2024-05-22,2024-05-04,[],2024,341.0,721,18,0.02485377419414359,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11479363044,179.39,615,,13793,giro-2024,18,2024-05-23,2024-05-04,[],2024,18.0,721,19,0.003416571761895503,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11487031992,156.93,2995,,15262,giro-2024,19,2024-05-24,2024-05-04,[],2024,258.0,721,20,0.018727528528997967,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11495171247,188.08,3861,,21288,giro-2024,20,2024-05-25,2024-05-04,[],2024,316.0,721,21,0.020115556342834517,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
584854,11503870353,126.89,674,,10893,giro-2024,21,2024-05-26,2024-05-04,[],2024,13.0,721,22,0.005283622338590825,0,50.0,106.0384,32.54989805103314,1444.16,1.3146860736739117
2754904,11331176325,140.38,1892,299.0,12374,giro-2024,1,2024-05-04,2024-05-04,[],2024,145.0,721,0,0.013298470535312641,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11339671436,165.57,2326,,15418,giro-2024,2,2024-05-05,2024-05-04,[],2024,222.0,721,1,0.013853814265974174,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11346116338,172.14,691,257.0,14997,giro-2024,3,2024-05-06,2024-05-04,[],2024,35.0,721,2,0.003998125336311194,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11353453282,190.88,1698,281.0,15805,giro-2024,4,2024-05-07,2024-05-04,[],2024,44.0,721,3,0.008817206534495114,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11361746923,185.19,1993,285.0,15722,giro-2024,5,2024-05-08,2024-05-04,[],2024,59.0,721,4,0.010647334426737471,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11370185112,183.41,2156,301.0,15275,giro-2024,6,2024-05-09,2024-05-04,[],2024,102.0,721,5,0.011618507700764148,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11377462669,40.52,408,310.0,3471,giro-2024,7,2024-05-10,2024-05-04,[],2024,42.0,721,6,0.0099687255668491,1,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11386159990,155.61,3700,308.0,15831,giro-2024,8,2024-05-11,2024-05-04,[],2024,265.0,721,7,0.02322515849601406,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11394479028,219.3,1169,246.0,18015,giro-2024,9,2024-05-12,2024-05-04,[],2024,77.0,721,8,0.005302332754264772,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11409447034,144.48,2977,331.0,14398,giro-2024,10,2024-05-14,2024-05-04,[],2024,267.0,721,10,0.02018893643570668,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11417059232,209.4,1575,,16428,giro-2024,11,2024-05-15,2024-05-04,[],2024,36.0,721,11,0.007465339495200853,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11424697218,193.95,2074,281.0,15657,giro-2024,12,2024-05-16,2024-05-04,[],2024,95.0,721,12,0.010580337101579398,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11432240189,183.27,133,243.0,15148,giro-2024,13,2024-05-17,2024-05-04,[],2024,0.0,721,13,0.000725178977443117,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11439743201,31.0,247,302.0,2427,giro-2024,14,2024-05-18,2024-05-04,[],2024,9.0,721,14,0.007904758856850257,1,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11448878886,227.45,5626,288.0,24741,giro-2024,15,2024-05-19,2024-05-04,[],2024,397.0,721,15,0.024138049391614753,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11464534460,116.86,2072,298.0,10493,giro-2024,16,2024-05-21,2024-05-04,[],2024,234.0,721,17,0.017421719974439174,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11472348624,158.78,4044,285.0,17865,giro-2024,17,2024-05-22,2024-05-04,[],2024,341.0,721,18,0.024836633420134625,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11479460269,177.57,718,248.0,13804,giro-2024,18,2024-05-23,2024-05-04,[],2024,18.0,721,19,0.004027191959077448,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11487119926,157.27,2976,298.0,15113,giro-2024,19,2024-05-24,2024-05-04,[],2024,258.0,721,20,0.01857144640115822,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11495188505,188.65,4205,288.0,20267,giro-2024,20,2024-05-25,2024-05-04,[],2024,316.0,721,21,0.021803945969770033,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
2754904,11504125097,127.19,606,247.0,10902,giro-2024,21,2024-05-26,2024-05-04,[],2024,13.0,721,22,0.004741932454849917,0,17.0,128.89176470588234,39.212776307967744,1725.7058823529412,1.083938899231122
